IDChamado;DataAbertura;Solicitante;Departamento;Categoria;DescricaoCurta;Urgencia;Status;TecnicoResponsavel;DataFechamento
HD-204;22/01/2025 16:54;Bruno Alves;Comercial;Falha em equipamento;Troca de senha solicitada;Crítica;Fechado;Gabriel;24/01/2025 08:55
HD-205;05/02/2025 13:17;Bruno Alves;Logística;Erro em sistema;Problema com impressão;Média;Em andamento;Gabriel;
HD-206;05/04/2025 10:48;Carlos Silva;TI;Backup;Problema com impressão;Baixa;Em andamento;Gabriel;
HD-207;14/01/2025 10:27;Mariana Dias;Comercial;Troca de senha;Troca de senha solicitada;Baixa;Pendente;Paulo;
HD-208;28/11/2024 09:59;Luciana Rocha;Jurídico;Erro em sistema;Conexão com servidor instável;Alta;Resolvido;Gabriel;30/11/2024 08:46
HD-209;02/11/2024 09:45;Mariana Dias;RH;Erro em sistema;Conexão com servidor instável;Baixa;Aberto;Gabriel;
HD-210;22/02/2025 10:19;Carlos Silva;Comercial;Erro em sistema;Erro ao abrir planilha;Crítica;Em andamento;Gabriel;
HD-211;10/03/2025 15:44;João Mendes;Marketing;Solicitação de software;Problema com impressão;Crítica;Pendente;Gabriel;
HD-212;02/12/2024 13:39;Ana Paula;Operações;Erro em sistema;Problema com impressão;Baixa;Aberto;Guilherme;
HD-213;11/03/2025 12:46;Fernando Lima;Comercial;Falha em equipamento;Erro ao abrir planilha;Crítica;Em andamento;Gabriel;
HD-214;24/12/2024 10:26;Luciana Rocha;Financeiro;Troca de senha;Solicitação de instalação do Office;Média;Aberto;Gabriel;
HD-215;03/12/2024 08:40;João Mendes;Comercial;Falha em equipamento;Problema com impressão;Baixa;Aberto;Gabriel;
HD-216;02/01/2025 15:12;Luciana Rocha;TI;Falha em equipamento;Solicitação de instalação do Office;Alta;Resolvido;Gabriel;05/01/2025 08:04
HD-217;17/01/2025 11:23;Fernando Lima;Operações;Acesso ao sistema;Solicitação de instalação do Office;Alta;Fechado;Gabriel;18/01/2025 13:23
HD-218;08/01/2025 10:23;Luciana Rocha;Logística;Backup;Conexão com servidor instável;Média;Pendente;Gabriel;
HD-219;04/02/2025 12:11;Mariana Dias;Financeiro;Falha em equipamento;Solicitação de instalação do Office;Alta;Aberto;Guilherme;
HD-220;21/03/2025 14:36;Juliana Castro;RH;Troca de senha;Problema com impressão;Crítica;Aberto;Guilherme;
HD-221;20/12/2024 08:06;Luciana Rocha;RH;Troca de senha;Erro ao abrir planilha;Média;Fechado;Gabriel;21/12/2024 08:01
HD-222;17/03/2025 11:58;Juliana Castro;TI;Backup;Usuário não consegue acessar o sistema;Crítica;Fechado;Guilherme;17/03/2025 15:58
HD-223;01/12/2024 12:12;Juliana Castro;Financeiro;Erro em sistema;Solicitação de instalação do Office;Média;Em andamento;Gabriel;
HD-224;30/11/2024 09:04;Carlos Silva;RH;Troca de senha;Problema com impressão;Alta;Pendente;Gabriel;
HD-225;03/03/2025 16:59;João Mendes;Marketing;Solicitação de software;Solicitação de instalação do Office;Alta;Resolvido;Gabriel;04/03/2025 14:59
HD-226;13/10/2024 16:41;Bruno Alves;TI;Troca de senha;Solicitação de instalação do Office;Alta;Resolvido;Gabriel;13/10/2024 18:53
HD-227;20/01/2025 10:11;Juliana Castro;RH;Backup;Troca de senha solicitada;Média;Aberto;Guilherme;
HD-228;06/01/2025 08:40;Ana Paula;Marketing;Solicitação de software;Solicitação de instalação do Office;Crítica;Aberto;Gabriel;
HD-229;23/10/2024 15:26;Juliana Castro;Financeiro;Falha em equipamento;Problema com impressão;Alta;Fechado;Paulo;26/10/2024 11:26
HD-230;26/02/2025 12:34;Fernando Lima;Marketing;Problemas de rede;Troca de senha solicitada;Baixa;Aberto;Gabriel;
HD-231;21/10/2024 14:59;João Mendes;Logística;Erro em sistema;Solicitação de instalação do Office;Baixa;Fechado;Guilherme;21/10/2024 17:59
HD-232;02/12/2024 08:03;Mariana Dias;Comercial;Solicitação de software;Erro ao abrir planilha;Alta;Em andamento;Gabriel;
HD-233;13/11/2024 08:22;Ana Paula;Financeiro;Falha em equipamento;Problema com impressão;Média;Em andamento;Gabriel;
HD-234;29/12/2024 14:05;João Mendes;Operações;Solicitação de software;Erro ao abrir planilha;Média;Fechado;Gabriel;29/12/2024 15:05
HD-235;09/01/2025 13:42;Luciana Rocha;Jurídico;Falha em equipamento;Solicitação de instalação do Office;Baixa;Em andamento;Gabriel;
HD-236;20/10/2024 14:09;Carlos Silva;Logística;Acesso ao sistema;Usuário não consegue acessar o sistema;Baixa;Fechado;Gabriel;21/10/2024 08:32
HD-237;05/12/2024 11:49;Bruno Alves;Jurídico;Solicitação de software;Erro ao abrir planilha;Alta;Fechado;Guilherme;06/12/2024 16:49
HD-238;18/10/2024 12:47;Luciana Rocha;Financeiro;Acesso ao sistema;Usuário não consegue acessar o sistema;Crítica;Pendente;Paulo;
HD-239;13/03/2025 15:08;Bruno Alves;Marketing;Erro em sistema;Usuário não consegue acessar o sistema;Média;Pendente;Paulo;
HD-240;26/03/2025 10:08;Luciana Rocha;Financeiro;Solicitação de software;Solicitação de instalação do Office;Média;Resolvido;Gabriel;26/03/2025 15:08
HD-241;05/01/2025 13:58;Ana Paula;Operações;Solicitação de software;Troca de senha solicitada;Alta;Aberto;Guilherme;
HD-242;16/03/2025 14:44;Juliana Castro;TI;Problemas de rede;Conexão com servidor instável;Baixa;Aberto;Guilherme;
HD-243;16/10/2024 09:40;Fernando Lima;Jurídico;Acesso ao sistema;Solicitação de instalação do Office;Crítica;Aberto;Guilherme;
HD-244;01/01/2025 13:26;Mariana Dias;Comercial;Solicitação de software;Erro ao abrir planilha;Alta;Fechado;Gabriel;02/01/2025 15:26
HD-245;07/12/2024 16:13;Carlos Silva;Financeiro;Problemas de rede;Troca de senha solicitada;Alta;Resolvido;Gabriel;10/12/2024 10:13
HD-246;08/11/2024 09:52;Juliana Castro;TI;Troca de senha;Conexão com servidor instável;Alta;Aberto;Gabriel;
HD-247;04/04/2025 11:09;Bruno Alves;RH;Acesso ao sistema;Conexão com servidor instável;Crítica;Pendente;Gabriel;
HD-248;17/03/2025 10:50;Fernando Lima;RH;Acesso ao sistema;Solicitação de instalação do Office;Crítica;Aberto;Guilherme;
HD-249;20/11/2024 08:25;Mariana Dias;TI;Falha em equipamento;Solicitação de instalação do Office;Média;Fechado;Paulo;21/11/2024 13:25
HD-250;07/03/2025 09:19;Juliana Castro;Financeiro;Problemas de rede;Troca de senha solicitada;Baixa;Pendente;Gabriel;
HD-251;16/02/2025 12:35;Juliana Castro;Comercial;Erro em sistema;Erro ao abrir planilha;Crítica;Fechado;Gabriel;17/02/2025 16:35
HD-252;24/12/2024 10:28;Fernando Lima;Comercial;Falha em equipamento;Troca de senha solicitada;Baixa;Aberto;Gabriel;
HD-253;20/01/2025 13:18;Mariana Dias;Comercial;Problemas de rede;Troca de senha solicitada;Crítica;Resolvido;Gabriel;23/01/2025 08:15
HD-254;09/03/2025 09:52;Luciana Rocha;Operações;Erro em sistema;Usuário não consegue acessar o sistema;Baixa;Em andamento;Gabriel;
HD-255;19/12/2024 15:46;João Mendes;Operações;Solicitação de software;Problema com impressão;Crítica;Em andamento;Gabriel;
HD-256;24/01/2025 11:14;Carlos Silva;Jurídico;Problemas de rede;Usuário não consegue acessar o sistema;Baixa;Pendente;Guilherme;
HD-257;21/01/2025 11:40;Luciana Rocha;Operações;Erro em sistema;Problema com impressão;Média;Fechado;Gabriel;22/01/2025 08:25
HD-258;14/01/2025 13:19;Bruno Alves;Operações;Falha em equipamento;Problema com impressão;Média;Aberto;Gabriel;
HD-259;19/11/2024 13:24;Fernando Lima;Logística;Backup;Solicitação de instalação do Office;Média;Fechado;Guilherme;21/11/2024 18:02
HD-260;18/10/2024 11:48;Mariana Dias;Marketing;Erro em sistema;Problema com impressão;Baixa;Resolvido;Guilherme;19/10/2024 09:48
HD-261;31/03/2025 10:06;Luciana Rocha;Operações;Problemas de rede;Troca de senha solicitada;Média;Pendente;Paulo;
HD-262;27/02/2025 11:27;Ana Paula;Jurídico;Solicitação de software;Erro ao abrir planilha;Alta;Resolvido;Gabriel;01/03/2025 18:34
HD-263;16/02/2025 13:47;Fernando Lima;Comercial;Solicitação de software;Usuário não consegue acessar o sistema;Alta;Em andamento;Guilherme;
HD-264;21/02/2025 13:19;João Mendes;Financeiro;Erro em sistema;Troca de senha solicitada;Alta;Em andamento;Gabriel;
HD-265;29/12/2024 13:46;Ana Paula;Jurídico;Problemas de rede;Erro ao abrir planilha;Alta;Aberto;Guilherme;
HD-266;21/01/2025 16:38;Juliana Castro;Operações;Solicitação de software;Troca de senha solicitada;Alta;Pendente;Gabriel;
HD-267;11/01/2025 14:40;Ana Paula;TI;Troca de senha;Problema com impressão;Baixa;Fechado;Guilherme;12/01/2025 08:35
HD-268;25/12/2024 11:43;Carlos Silva;Logística;Acesso ao sistema;Problema com impressão;Alta;Resolvido;Guilherme;27/12/2024 12:43
HD-269;12/01/2025 11:23;Carlos Silva;Marketing;Solicitação de software;Usuário não consegue acessar o sistema;Baixa;Resolvido;Guilherme;14/01/2025 16:23
HD-270;05/03/2025 12:13;Carlos Silva;Financeiro;Solicitação de software;Problema com impressão;Crítica;Resolvido;Gabriel;08/03/2025 08:01
HD-271;20/10/2024 11:47;Luciana Rocha;Operações;Troca de senha;Conexão com servidor instável;Crítica;Resolvido;Gabriel;22/10/2024 18:47
HD-272;24/01/2025 13:57;Juliana Castro;Comercial;Solicitação de software;Problema com impressão;Baixa;Pendente;Gabriel;
HD-273;27/02/2025 09:09;Juliana Castro;Financeiro;Troca de senha;Usuário não consegue acessar o sistema;Crítica;Fechado;Gabriel;01/03/2025 18:09
HD-274;14/12/2024 12:47;Luciana Rocha;RH;Troca de senha;Erro ao abrir planilha;Média;Pendente;Gabriel;
HD-275;19/02/2025 15:00;Ana Paula;Operações;Erro em sistema;Solicitação de instalação do Office;Crítica;Aberto;Guilherme;
HD-276;15/01/2025 11:38;Juliana Castro;Comercial;Acesso ao sistema;Conexão com servidor instável;Baixa;Resolvido;Paulo;15/01/2025 12:38
HD-277;20/02/2025 11:32;Bruno Alves;Marketing;Backup;Conexão com servidor instável;Média;Pendente;Gabriel;
HD-278;15/12/2024 14:19;Juliana Castro;Comercial;Problemas de rede;Solicitação de instalação do Office;Média;Aberto;Guilherme;
HD-279;06/01/2025 15:41;Mariana Dias;Financeiro;Erro em sistema;Usuário não consegue acessar o sistema;Média;Em andamento;Guilherme;
HD-280;04/04/2025 16:12;Ana Paula;RH;Falha em equipamento;Troca de senha solicitada;Baixa;Pendente;Gabriel;
HD-281;12/02/2025 08:19;Bruno Alves;Jurídico;Problemas de rede;Solicitação de instalação do Office;Média;Em andamento;Guilherme;
HD-282;08/12/2024 08:35;Bruno Alves;TI;Erro em sistema;Usuário não consegue acessar o sistema;Crítica;Fechado;Gabriel;08/12/2024 15:35
HD-283;02/02/2025 10:05;Juliana Castro;Jurídico;Erro em sistema;Conexão com servidor instável;Alta;Em andamento;Gabriel;
HD-284;25/02/2025 15:53;João Mendes;Marketing;Falha em equipamento;Troca de senha solicitada;Crítica;Em andamento;Guilherme;
HD-285;24/03/2025 09:05;Fernando Lima;RH;Acesso ao sistema;Troca de senha solicitada;Média;Pendente;Guilherme;
HD-286;06/03/2025 10:12;Fernando Lima;Operações;Falha em equipamento;Erro ao abrir planilha;Baixa;Resolvido;Guilherme;09/03/2025 08:15
HD-287;03/11/2024 11:46;Juliana Castro;Jurídico;Erro em sistema;Erro ao abrir planilha;Crítica;Resolvido;Paulo;03/11/2024 18:46
HD-288;25/02/2025 14:10;Mariana Dias;Logística;Erro em sistema;Problema com impressão;Crítica;Pendente;Gabriel;
HD-289;12/03/2025 16:40;Carlos Silva;Logística;Solicitação de software;Solicitação de instalação do Office;Média;Pendente;Paulo;
HD-290;03/03/2025 09:54;Mariana Dias;TI;Problemas de rede;Solicitação de instalação do Office;Crítica;Resolvido;Gabriel;03/03/2025 18:03
HD-291;15/01/2025 08:08;Ana Paula;Logística;Problemas de rede;Troca de senha solicitada;Crítica;Resolvido;Gabriel;18/01/2025 08:30
HD-292;08/01/2025 16:31;Fernando Lima;Jurídico;Falha em equipamento;Solicitação de instalação do Office;Alta;Em andamento;Guilherme;
HD-293;04/04/2025 15:07;Bruno Alves;Jurídico;Troca de senha;Erro ao abrir planilha;Média;Em andamento;Gabriel;
HD-294;29/10/2024 16:50;Mariana Dias;Comercial;Acesso ao sistema;Usuário não consegue acessar o sistema;Baixa;Em andamento;Paulo;
HD-295;11/02/2025 11:18;João Mendes;Financeiro;Falha em equipamento;Erro ao abrir planilha;Baixa;Em andamento;Paulo;
HD-296;27/11/2024 14:38;Ana Paula;Marketing;Solicitação de software;Troca de senha solicitada;Alta;Em andamento;Gabriel;
HD-297;23/11/2024 12:56;Fernando Lima;Financeiro;Troca de senha;Troca de senha solicitada;Crítica;Fechado;Gabriel;24/11/2024 16:56
HD-298;14/11/2024 13:18;Fernando Lima;Marketing;Backup;Usuário não consegue acessar o sistema;Média;Resolvido;Guilherme;16/11/2024 08:48
HD-299;19/10/2024 09:52;Fernando Lima;RH;Acesso ao sistema;Solicitação de instalação do Office;Baixa;Resolvido;Guilherme;21/10/2024 13:52
HD-300;29/01/2025 11:02;Luciana Rocha;Jurídico;Solicitação de software;Usuário não consegue acessar o sistema;Média;Pendente;Paulo;
HD-301;13/01/2025 14:25;Juliana Castro;Comercial;Solicitação de software;Erro ao abrir planilha;Crítica;Fechado;Guilherme;16/01/2025 11:25
HD-302;18/03/2025 09:03;Juliana Castro;Logística;Erro em sistema;Conexão com servidor instável;Alta;Fechado;Guilherme;19/03/2025 08:03
HD-303;22/03/2025 16:56;Carlos Silva;Operações;Falha em equipamento;Erro ao abrir planilha;Baixa;Pendente;Gabriel;
HD-304;08/11/2024 09:43;Luciana Rocha;Financeiro;Troca de senha;Conexão com servidor instável;Crítica;Resolvido;Guilherme;10/11/2024 12:43
HD-305;23/10/2024 09:32;Bruno Alves;Jurídico;Problemas de rede;Problema com impressão;Baixa;Pendente;Paulo;
HD-306;18/02/2025 08:05;Juliana Castro;Logística;Falha em equipamento;Erro ao abrir planilha;Média;Pendente;Gabriel;
HD-307;23/02/2025 14:52;Ana Paula;RH;Falha em equipamento;Usuário não consegue acessar o sistema;Crítica;Fechado;Guilherme;24/02/2025 08:34
HD-308;02/04/2025 10:40;Carlos Silva;Financeiro;Acesso ao sistema;Solicitação de instalação do Office;Crítica;Pendente;Gabriel;
HD-309;03/12/2024 11:24;Carlos Silva;RH;Troca de senha;Solicitação de instalação do Office;Baixa;Aberto;Gabriel;
HD-310;11/11/2024 10:31;Ana Paula;Jurídico;Backup;Erro ao abrir planilha;Alta;Pendente;Gabriel;
HD-311;22/11/2024 10:16;Luciana Rocha;TI;Backup;Conexão com servidor instável;Média;Em andamento;Guilherme;
HD-312;21/03/2025 11:13;Luciana Rocha;Jurídico;Backup;Solicitação de instalação do Office;Crítica;Resolvido;Gabriel;23/03/2025 08:46
HD-313;31/01/2025 15:24;Ana Paula;Logística;Falha em equipamento;Solicitação de instalação do Office;Crítica;Resolvido;Gabriel;01/02/2025 12:24
HD-314;12/12/2024 14:53;Bruno Alves;Logística;Erro em sistema;Erro ao abrir planilha;Baixa;Fechado;Gabriel;13/12/2024 14:53
HD-315;17/12/2024 15:12;Bruno Alves;Operações;Backup;Troca de senha solicitada;Alta;Fechado;Gabriel;19/12/2024 08:07
HD-316;26/10/2024 08:51;Fernando Lima;Financeiro;Falha em equipamento;Usuário não consegue acessar o sistema;Média;Aberto;Guilherme;
HD-317;13/11/2024 15:55;Juliana Castro;Marketing;Acesso ao sistema;Usuário não consegue acessar o sistema;Crítica;Em andamento;Gabriel;
HD-318;05/03/2025 16:42;Fernando Lima;Logística;Solicitação de software;Solicitação de instalação do Office;Alta;Resolvido;Guilherme;06/03/2025 08:17
HD-319;03/12/2024 12:39;Luciana Rocha;Logística;Solicitação de software;Troca de senha solicitada;Crítica;Em andamento;Guilherme;
HD-320;03/12/2024 11:28;Ana Paula;Operações;Falha em equipamento;Erro ao abrir planilha;Alta;Aberto;Guilherme;
HD-321;02/04/2025 10:47;Bruno Alves;RH;Solicitação de software;Usuário não consegue acessar o sistema;Média;Aberto;Gabriel;
HD-322;07/12/2024 09:13;Mariana Dias;TI;Solicitação de software;Solicitação de instalação do Office;Crítica;Pendente;Paulo;
HD-323;26/01/2025 08:41;Mariana Dias;Comercial;Backup;Usuário não consegue acessar o sistema;Alta;Pendente;Gabriel;
HD-324;01/01/2025 12:41;João Mendes;TI;Falha em equipamento;Usuário não consegue acessar o sistema;Média;Pendente;Gabriel;
HD-325;11/01/2025 12:52;João Mendes;RH;Erro em sistema;Erro ao abrir planilha;Média;Aberto;Guilherme;
HD-326;12/11/2024 14:03;Bruno Alves;Logística;Problemas de rede;Conexão com servidor instável;Média;Em andamento;Gabriel;
HD-327;25/11/2024 14:19;Ana Paula;TI;Acesso ao sistema;Usuário não consegue acessar o sistema;Média;Fechado;Gabriel;27/11/2024 08:40
HD-328;25/10/2024 10:18;Ana Paula;Comercial;Troca de senha;Solicitação de instalação do Office;Baixa;Aberto;Gabriel;
HD-329;09/03/2025 09:02;Juliana Castro;Jurídico;Acesso ao sistema;Troca de senha solicitada;Baixa;Pendente;Paulo;
HD-330;01/02/2025 11:27;Fernando Lima;TI;Erro em sistema;Problema com impressão;Baixa;Resolvido;Gabriel;04/02/2025 08:45
HD-331;18/10/2024 09:57;Luciana Rocha;Operações;Erro em sistema;Usuário não consegue acessar o sistema;Baixa;Pendente;Guilherme;
HD-332;12/03/2025 08:17;Ana Paula;Financeiro;Erro em sistema;Troca de senha solicitada;Alta;Pendente;Guilherme;
HD-333;24/03/2025 13:43;Luciana Rocha;Comercial;Erro em sistema;Solicitação de instalação do Office;Baixa;Em andamento;Gabriel;
HD-334;13/03/2025 14:38;Carlos Silva;Logística;Backup;Usuário não consegue acessar o sistema;Crítica;Resolvido;Paulo;15/03/2025 08:49
HD-335;28/01/2025 16:59;Bruno Alves;Logística;Troca de senha;Problema com impressão;Média;Aberto;Guilherme;
HD-336;22/02/2025 15:18;Fernando Lima;TI;Erro em sistema;Troca de senha solicitada;Alta;Aberto;Gabriel;
HD-337;06/01/2025 10:15;Mariana Dias;TI;Solicitação de software;Solicitação de instalação do Office;Baixa;Fechado;Gabriel;08/01/2025 18:14
HD-338;18/03/2025 16:34;João Mendes;Marketing;Solicitação de software;Usuário não consegue acessar o sistema;Crítica;Aberto;Guilherme;
HD-339;03/01/2025 09:19;Mariana Dias;Jurídico;Falha em equipamento;Usuário não consegue acessar o sistema;Média;Aberto;Guilherme;
HD-340;15/03/2025 08:51;Ana Paula;RH;Erro em sistema;Problema com impressão;Média;Em andamento;Gabriel;
HD-341;25/02/2025 10:03;Luciana Rocha;TI;Problemas de rede;Troca de senha solicitada;Alta;Aberto;Gabriel;
HD-342;09/12/2024 16:08;João Mendes;Financeiro;Problemas de rede;Troca de senha solicitada;Baixa;Em andamento;Guilherme;
HD-343;02/04/2025 11:59;Bruno Alves;TI;Solicitação de software;Troca de senha solicitada;Alta;Resolvido;Gabriel;03/04/2025 08:53
HD-344;27/11/2024 16:44;Carlos Silva;Jurídico;Acesso ao sistema;Problema com impressão;Crítica;Em andamento;Guilherme;
HD-345;17/11/2024 08:22;Ana Paula;TI;Solicitação de software;Troca de senha solicitada;Crítica;Fechado;Gabriel;18/11/2024 09:22
HD-346;23/11/2024 12:58;Luciana Rocha;Comercial;Solicitação de software;Troca de senha solicitada;Crítica;Aberto;Gabriel;
HD-347;05/01/2025 15:32;Luciana Rocha;Marketing;Backup;Usuário não consegue acessar o sistema;Baixa;Aberto;Gabriel;
HD-348;30/03/2025 10:04;Mariana Dias;TI;Backup;Erro ao abrir planilha;Alta;Aberto;Paulo;
HD-349;23/02/2025 16:10;Fernando Lima;Marketing;Backup;Conexão com servidor instável;Alta;Pendente;Guilherme;
HD-350;14/01/2025 16:32;Luciana Rocha;Logística;Falha em equipamento;Solicitação de instalação do Office;Crítica;Pendente;Gabriel;
HD-351;11/02/2025 13:03;João Mendes;RH;Backup;Problema com impressão;Crítica;Fechado;Gabriel;13/02/2025 15:03
HD-352;19/11/2024 11:39;Bruno Alves;RH;Troca de senha;Troca de senha solicitada;Alta;Pendente;Guilherme;
HD-353;24/11/2024 08:57;Carlos Silva;Jurídico;Troca de senha;Usuário não consegue acessar o sistema;Média;Resolvido;Gabriel;25/11/2024 08:03
HD-354;01/12/2024 08:17;Mariana Dias;Financeiro;Erro em sistema;Solicitação de instalação do Office;Baixa;Aberto;Gabriel;
HD-355;26/01/2025 14:48;Carlos Silva;RH;Falha em equipamento;Troca de senha solicitada;Alta;Em andamento;Gabriel;
HD-356;22/02/2025 08:44;João Mendes;Marketing;Problemas de rede;Conexão com servidor instável;Alta;Em andamento;Gabriel;
HD-357;20/03/2025 09:57;Juliana Castro;Jurídico;Backup;Conexão com servidor instável;Alta;Em andamento;Guilherme;
HD-358;09/10/2024 13:28;Carlos Silva;Comercial;Backup;Erro ao abrir planilha;Crítica;Resolvido;Gabriel;11/10/2024 14:28
HD-359;15/01/2025 09:45;Luciana Rocha;Comercial;Troca de senha;Conexão com servidor instável;Baixa;Em andamento;Gabriel;
HD-360;27/01/2025 10:40;Ana Paula;Logística;Falha em equipamento;Troca de senha solicitada;Baixa;Pendente;Guilherme;
HD-361;29/10/2024 16:26;Bruno Alves;Comercial;Erro em sistema;Conexão com servidor instável;Baixa;Pendente;Paulo;
HD-362;06/02/2025 15:18;Ana Paula;Jurídico;Backup;Problema com impressão;Alta;Pendente;Gabriel;
HD-363;22/12/2024 16:12;Bruno Alves;Financeiro;Erro em sistema;Troca de senha solicitada;Crítica;Em andamento;Guilherme;
HD-364;25/12/2024 14:09;Fernando Lima;Operações;Erro em sistema;Usuário não consegue acessar o sistema;Baixa;Pendente;Gabriel;
HD-365;04/02/2025 11:31;João Mendes;TI;Solicitação de software;Solicitação de instalação do Office;Alta;Pendente;Gabriel;
HD-366;14/12/2024 12:57;Carlos Silva;Comercial;Falha em equipamento;Usuário não consegue acessar o sistema;Baixa;Resolvido;Gabriel;14/12/2024 18:13
HD-367;24/12/2024 13:04;Juliana Castro;Financeiro;Solicitação de software;Solicitação de instalação do Office;Baixa;Resolvido;Gabriel;25/12/2024 08:16
HD-368;04/11/2024 15:18;Bruno Alves;Jurídico;Acesso ao sistema;Usuário não consegue acessar o sistema;Crítica;Pendente;Gabriel;
HD-369;01/04/2025 12:35;Luciana Rocha;Logística;Backup;Conexão com servidor instável;Alta;Pendente;Gabriel;
HD-370;02/02/2025 16:22;João Mendes;TI;Troca de senha;Solicitação de instalação do Office;Crítica;Resolvido;Guilherme;05/02/2025 08:58
HD-371;17/03/2025 15:18;João Mendes;RH;Problemas de rede;Usuário não consegue acessar o sistema;Baixa;Em andamento;Guilherme;
HD-372;21/01/2025 09:07;Juliana Castro;Marketing;Erro em sistema;Solicitação de instalação do Office;Baixa;Aberto;Gabriel;
HD-373;12/03/2025 13:52;Ana Paula;Operações;Falha em equipamento;Erro ao abrir planilha;Baixa;Aberto;Gabriel;
HD-374;09/03/2025 08:00;Juliana Castro;Operações;Erro em sistema;Conexão com servidor instável;Média;Em andamento;Gabriel;
HD-375;16/10/2024 15:08;Bruno Alves;Logística;Solicitação de software;Usuário não consegue acessar o sistema;Crítica;Fechado;Guilherme;18/10/2024 18:08
HD-376;17/10/2024 16:44;João Mendes;Financeiro;Problemas de rede;Usuário não consegue acessar o sistema;Crítica;Em andamento;Guilherme;
HD-377;13/01/2025 16:34;Fernando Lima;Financeiro;Erro em sistema;Usuário não consegue acessar o sistema;Baixa;Fechado;Gabriel;14/01/2025 08:15
HD-378;12/01/2025 08:37;Mariana Dias;Jurídico;Acesso ao sistema;Erro ao abrir planilha;Alta;Pendente;Gabriel;
HD-379;31/12/2024 09:11;Mariana Dias;Logística;Solicitação de software;Erro ao abrir planilha;Baixa;Aberto;Gabriel;
HD-380;28/03/2025 16:39;Fernando Lima;Operações;Falha em equipamento;Erro ao abrir planilha;Crítica;Resolvido;Gabriel;30/03/2025 18:15
HD-381;22/02/2025 12:44;Fernando Lima;Financeiro;Acesso ao sistema;Erro ao abrir planilha;Alta;Fechado;Guilherme;25/02/2025 10:44
HD-382;07/12/2024 08:01;Carlos Silva;Financeiro;Falha em equipamento;Solicitação de instalação do Office;Alta;Em andamento;Paulo;
HD-383;24/10/2024 13:19;Mariana Dias;Financeiro;Solicitação de software;Erro ao abrir planilha;Crítica;Pendente;Guilherme;
HD-384;29/11/2024 11:25;Fernando Lima;Financeiro;Problemas de rede;Problema com impressão;Baixa;Pendente;Gabriel;
HD-385;03/11/2024 15:26;Mariana Dias;Logística;Solicitação de software;Troca de senha solicitada;Crítica;Em andamento;Guilherme;
HD-386;15/02/2025 16:25;Mariana Dias;Jurídico;Problemas de rede;Problema com impressão;Baixa;Aberto;Guilherme;
HD-387;02/01/2025 08:23;Luciana Rocha;Marketing;Backup;Conexão com servidor instável;Média;Em andamento;Gabriel;
HD-388;24/01/2025 14:52;Ana Paula;Logística;Acesso ao sistema;Usuário não consegue acessar o sistema;Baixa;Em andamento;Guilherme;
HD-389;04/12/2024 15:50;Luciana Rocha;RH;Falha em equipamento;Conexão com servidor instável;Média;Fechado;Gabriel;06/12/2024 17:50
HD-390;17/10/2024 15:14;Bruno Alves;Operações;Problemas de rede;Troca de senha solicitada;Crítica;Em andamento;Guilherme;
HD-391;03/11/2024 16:24;João Mendes;Jurídico;Falha em equipamento;Troca de senha solicitada;Alta;Em andamento;Gabriel;
HD-392;20/02/2025 12:27;Mariana Dias;Comercial;Falha em equipamento;Troca de senha solicitada;Média;Pendente;Gabriel;
HD-393;30/01/2025 16:46;Bruno Alves;Operações;Backup;Usuário não consegue acessar o sistema;Baixa;Em andamento;Gabriel;
HD-394;23/10/2024 14:56;Bruno Alves;Marketing;Backup;Usuário não consegue acessar o sistema;Crítica;Fechado;Guilherme;24/10/2024 18:56
HD-395;04/01/2025 10:15;Bruno Alves;Jurídico;Solicitação de software;Problema com impressão;Baixa;Pendente;Gabriel;
HD-396;02/01/2025 16:35;Ana Paula;TI;Acesso ao sistema;Troca de senha solicitada;Média;Aberto;Gabriel;
HD-397;28/02/2025 12:49;Luciana Rocha;Operações;Acesso ao sistema;Erro ao abrir planilha;Média;Resolvido;Gabriel;28/02/2025 15:49
HD-398;21/11/2024 12:45;Mariana Dias;RH;Falha em equipamento;Solicitação de instalação do Office;Média;Resolvido;Gabriel;21/11/2024 16:45
HD-399;16/02/2025 13:51;Juliana Castro;TI;Problemas de rede;Usuário não consegue acessar o sistema;Baixa;Resolvido;Gabriel;19/02/2025 12:51
HD-400;09/10/2024 10:43;Carlos Silva;Operações;Troca de senha;Usuário não consegue acessar o sistema;Média;Aberto;Guilherme;
HD-401;03/01/2025 11:11;Mariana Dias;Marketing;Troca de senha;Usuário não consegue acessar o sistema;Média;Fechado;Guilherme;03/01/2025 17:11
HD-402;25/11/2024 13:44;Mariana Dias;TI;Backup;Troca de senha solicitada;Média;Aberto;Gabriel;
HD-403;17/03/2025 16:07;Luciana Rocha;Marketing;Erro em sistema;Solicitação de instalação do Office;Baixa;Em andamento;Gabriel;
HD-404;07/01/2025 09:01;Luciana Rocha;TI;Falha em equipamento;Conexão com servidor instável;Baixa;Pendente;Gabriel;
HD-405;16/11/2024 12:08;Mariana Dias;Marketing;Solicitação de software;Solicitação de instalação do Office;Baixa;Resolvido;Gabriel;19/11/2024 08:01
HD-406;25/02/2025 08:38;Mariana Dias;Logística;Falha em equipamento;Usuário não consegue acessar o sistema;Baixa;Aberto;Gabriel;
